"~id","~start_node_id","~end_node_id","~relationship_type","score","year","title"
"664","809","1115","DIRECTED_BY","6.3","1983.0","Lone Wolf McQuade "
"665","810","1116","DIRECTED_BY","6.2","1982.0","The Beastmaster "
"666","811","1098","DIRECTED_BY","6.2","1959.0","Solomon and Sheba "
"667","812","1117","DIRECTED_BY","6.6","1932.0","A Farewell to Arms "
"668","813","330","DIRECTED_BY","6.6","1976.0","Robin and Marian "
"669","9","1082","DIRECTED_BY","6.3","1978.0","Force 10 from Navarone "
"670","814","1118","DIRECTED_BY","7.0","1989.0","UHF "
"671","815","370","DIRECTED_BY","8.6","1968.0","Once Upon a Time in the West "
"672","816","1119","DIRECTED_BY","6.2","1982.0","Jekyll and Hyde... Together Again "
"673","817","1120","DIRECTED_BY","7.2","1980.0","Out of the Blue "
"674","818","1121","DIRECTED_BY","6.2","1947.0","Tycoon "
"675","819","1122","DIRECTED_BY","6.8","1977.0","Capricorn One "
"676","820","1123","DIRECTED_BY","6.7","1988.0","Lady in White "
"677","821","354","DIRECTED_BY","5.5","1986.0","The Texas Chainsaw Massacre 2 "
"678","822","1102","DIRECTED_BY","6.8","1965.0","Major Dundee "
"679","79","1124","DIRECTED_BY","6.7","1984.0","Police Academy "
"680","823","1092","DIRECTED_BY","5.7","1980.0","The Blue Lagoon "
"681","824","1125","DIRECTED_BY","7.2","1982.0","Fast Times at Ridgemont High "
"682","825","1126","DIRECTED_BY","7.4","1956.0","Moby Dick "
"683","826","1127","DIRECTED_BY","7.1","1945.0","State Fair "
"684","827","707","DIRECTED_BY","7.5","1986.0","Salvador "
"685","80","409","DIRECTED_BY","8.7","1975.0","One Flew Over the Cuckoo's Nest "
"686","828","391","DIRECTED_BY","6.7","1976.0","Silent Movie "
"687","829","1128","DIRECTED_BY","6.2","1981.0","Porky's "
"688","830","324","DIRECTED_BY","8.0","1968.0","Night of the Living Dead "
"689","831","1129","DIRECTED_BY","6.7","1952.0","The Greatest Show on Earth "
"690","832","1130","DIRECTED_BY","7.3","1974.0","The Front Page "
"691","811","746","DIRECTED_BY","6.8","1956.0","Trapeze "
"692","833","349","DIRECTED_BY","7.3","1988.0","They Live "
"693","822","1131","DIRECTED_BY","8.3","1963.0","The Great Escape "
"694","834","1126","DIRECTED_BY","7.4","1961.0","The Misfits "
"695","835","400","DIRECTED_BY","6.3","1969.0","Topaz "
"696","836","707","DIRECTED_BY","7.3","1988.0","Talk Radio "
"697","837","1132","DIRECTED_BY","4.8","1987.0","The Barbarians "
"698","838","724","DIRECTED_BY","5.9","1987.0","Prison "
"699","839","1133","DIRECTED_BY","7.6","1972.0","1776 "
"700","840","1134","DIRECTED_BY","7.8","1930.0","Hell's Angels "
"701","813","1104","DIRECTED_BY","7.9","1966.0","A Man for All Seasons "
"702","461","389","DIRECTED_BY","8.1","1976.0","Network "
"703","841","1135","DIRECTED_BY","8.2","1939.0","Gone with the Wind "
"704","842","1136","DIRECTED_BY","7.0","1950.0","Annie Get Your Gun "
"705","843","1137","DIRECTED_BY","7.1","1948.0","The Pirate "
"706","844","1138","DIRECTED_BY","7.9","1969.0","Midnight Cowboy "
"707","845","1139","DIRECTED_BY","7.8","1980.0","Airplane! "
"708","846","1140","DIRECTED_BY","6.0","1987.0","Creepshow 2 "
"709","847","1102","DIRECTED_BY","7.3","1970.0","The Ballad of Cable Hogue "
"710","848","1141","DIRECTED_BY","8.0","1967.0","In Cold Blood "
"711","849","1104","DIRECTED_BY","7.6","1959.0","The Nun's Story "
"712","75","706","DIRECTED_BY","7.0","1966.0","Harper "
"713","850","400","DIRECTED_BY","7.5","1972.0","Frenzy "
"714","851","1142","DIRECTED_BY","7.6","1981.0","The Evil Dead "
"715","852","1128","DIRECTED_BY","8.1","1983.0","A Christmas Story "
"716","853","717","DIRECTED_BY","6.6","1982.0","Class of 1984 "
"717","468","1143","DIRECTED_BY","8.0","1968.0","Rosemary's Baby "
"718","854","1144","DIRECTED_BY","6.9","1963.0","Donovan's Reef "
"719","855","1082","DIRECTED_BY","7.8","1964.0","Goldfinger "
"720","856","1145","DIRECTED_BY","8.6","1946.0","It's a Wonderful Life "
"721","857","1146","DIRECTED_BY","5.4","1985.0","A Nightmare on Elm Street 2: Freddy's Revenge "
"722","779","1147","DIRECTED_BY","7.4","1985.0","A Room with a View "
"723","858","1141","DIRECTED_BY","8.1","1958.0","Cat on a Hot Tin Roof "
"844","1148","1432","DIRECTED_BY","6.1","1970.0","Beneath the Planet of the Apes "
"845","1149","1433","DIRECTED_BY","5.9","1986.0","Jason Lives: Friday the 13th Part VI "
"846","794","373","DIRECTED_BY","8.2","1957.0","The Bridge on the River Kwai "
"847","1150","400","DIRECTED_BY","6.8","1976.0","Family Plot "
"848","1151","1130","DIRECTED_BY","8.3","1960.0","The Apartment "
"849","1152","400","DIRECTED_BY","6.7","1966.0","Torn Curtain "
"850","1153","748","DIRECTED_BY","6.6","1985.0","Krush Groove "
"851","1154","1141","DIRECTED_BY","7.9","1960.0","Elmer Gantry "
"852","1155","756","DIRECTED_BY","8.3","1961.0","Judgment at Nuremberg "
"853","834","1434","DIRECTED_BY","7.8","1948.0","Red River "
"854","1156","1435","DIRECTED_BY","3.2","1987.0","Teen Wolf Too "
"855","1157","1116","DIRECTED_BY","6.5","1988.0","Phantasm II "
"856","1158","1436","DIRECTED_BY","7.8","1971.0","Willy Wonka & the Chocolate Factory "
"857","1159","1437","DIRECTED_BY","8.0","1978.0","Days of Heaven "
"858","854","722","DIRECTED_BY","7.4","1967.0","Point Blank "
"859","1160","1438","DIRECTED_BY","6.2","1988.0","Iguana "
"860","1161","1145","DIRECTED_BY","7.3","1961.0","Pocketful of Miracles "
"861","1162","1130","DIRECTED_BY","8.3","1959.0","Some Like It Hot "
"862","807","1439","DIRECTED_BY","5.3","1988.0","Friday the 13th Part VII: The New Blood "
"863","1163","1135","DIRECTED_BY","8.1","1939.0","The Wizard of Oz "
"864","1164","1440","DIRECTED_BY","7.4","1979.0","The Black Stallion "
"865","1165","1135","DIRECTED_BY","7.0","1943.0","A Guy Named Joe "
